target,target_name,indicator,indicator_name,correlation_yoy,correlation_pval,optimal_lag,lag_correlation,granger_lag,granger_pval,granger_significant,ml_ridge_r2,ml_lasso_r2,ml_rf_r2,rising_sharpe,rising_mean,falling_sharpe,falling_mean,recession_sharpe,plot_path
SPY,S&P 500,orders_inv_ratio,Orders/Inventories Ratio,0.002091861281503002,0.9701264940442947,-5,-0.08089519784540397,3,0.5337150036576297,False,-0.3990868826650847,-0.3000594866336138,-0.2613455904481578,0.8134302904136106,0.8967961920169746,0.44235933191760834,0.621905462700213,-0.641746697123331,/home/david/knows/rlic/data/bulk_analysis/SPY_orders_inv_ratio_regime.png
SPY,S&P 500,ppi_yoy,PPI YoY,-0.016992643267218596,0.7609502444280275,-9,0.14213949317411811,1,0.1322911035392004,False,-0.5832707594598843,-0.2962680113135078,-0.17739255448071684,0.175943689011552,0.20752053124900585,0.7579598812228724,0.9703509354183103,-0.641746697123331,/home/david/knows/rlic/data/bulk_analysis/SPY_ppi_yoy_regime.png
XLK,Technology,orders_inv_ratio,Orders/Inventories Ratio,-0.055628841709757786,0.3189253597823151,-11,-0.08294554558847608,3,0.2918715305223856,False,-0.5811502002562376,-0.4974879610809834,-0.4319968955214506,0.571183311835942,1.0375892407582086,0.4219997318877814,0.8276598198170865,-0.2640683053021298,/home/david/knows/rlic/data/bulk_analysis/XLK_orders_inv_ratio_regime.png
XLK,Technology,ppi_yoy,PPI YoY,-0.014648790961378687,0.793117594035284,-10,0.13876790152198706,1,0.2618077359091753,False,-1.1498837344423638,-0.8175508489245173,-0.3637244651889131,-0.008915388193508494,-0.016735120240588916,0.6848448621726172,1.2883822880506726,-0.2640683053021298,/home/david/knows/rlic/data/bulk_analysis/XLK_ppi_yoy_regime.png
XLF,Financials,orders_inv_ratio,Orders/Inventories Ratio,0.04700885277287261,0.39976401828222113,-5,-0.09589800022625657,4,0.30426261031148755,False,-0.4779091261437044,-0.39101744481461786,-0.25993111163458094,0.5311047079808237,0.7796504912799515,0.2754363268568972,0.5588615016662913,-0.7909807023371938,/home/david/knows/rlic/data/bulk_analysis/XLF_orders_inv_ratio_regime.png
XLF,Financials,ppi_yoy,PPI YoY,-0.03919404605688262,0.482715245002458,-9,0.13936231089356874,6,0.4959495540294403,False,-0.6397274364074922,-0.4481951070459266,-0.10969339025244185,-0.19674096178349146,-0.30356209114156985,0.567537750711201,1.0339606661975578,-0.7909807023371938,/home/david/knows/rlic/data/bulk_analysis/XLF_ppi_yoy_regime.png
XLV,Health Care,orders_inv_ratio,Orders/Inventories Ratio,-0.00030672011944465476,0.9956187863197209,-5,-0.07295136084289121,6,0.4460857557920146,False,-0.19706654917074382,-0.0878347549112835,-0.10641583310210781,0.8216452590840724,0.8848437318962794,0.4578172359987341,0.5899819235053837,-0.2528141996193382,/home/david/knows/rlic/data/bulk_analysis/XLV_orders_inv_ratio_regime.png
XLV,Health Care,ppi_yoy,PPI YoY,0.03809075673923669,0.4951325227128576,-1,-0.12579160976442932,1,0.025862319633713722,True,-0.3762896062918996,-0.17575370165802012,-0.16809720046823456,0.4263797650175024,0.4779963119214733,0.6980587321847945,0.841166381206531,-0.2528141996193382,/home/david/knows/rlic/data/bulk_analysis/XLV_ppi_yoy_regime.png
XLE,Energy,orders_inv_ratio,Orders/Inventories Ratio,0.07153580563500385,0.1997321930326653,-10,0.08771975614301028,1,0.2524865505626685,False,-0.17749942133799612,-0.12326499976553693,-0.11967587648232403,1.0725861076746994,1.824582634042022,-0.027750219336964123,-0.06626294847879108,-0.5940562689233302,/home/david/knows/rlic/data/bulk_analysis/XLE_orders_inv_ratio_regime.png
XLE,Energy,ppi_yoy,PPI YoY,-0.015041903846184868,0.7876962983823526,-11,-0.10742721810146874,1,0.353220733255867,False,-0.2519981176991304,-0.17365674446194945,-0.11505108978511128,0.3785782239384661,0.8516424363634385,0.4681844039581978,0.9413823455136777,-0.5940562689233302,/home/david/knows/rlic/data/bulk_analysis/XLE_ppi_yoy_regime.png
XLI,Industrials,orders_inv_ratio,Orders/Inventories Ratio,0.04539866555498003,0.4161205479869157,-5,-0.08936391723125889,4,0.33100708380721977,False,-0.33953869890129773,-0.26287799529101047,-0.16140486445623067,0.7927425699646381,1.094259364986884,0.3653060071477308,0.6301294659721998,-0.6765631156139498,/home/david/knows/rlic/data/bulk_analysis/XLI_orders_inv_ratio_regime.png
XLI,Industrials,ppi_yoy,PPI YoY,0.00021518626673246315,0.9969262550762448,-9,0.11794538053600713,1,0.37220387318312154,False,-1.1244664815560266,-0.8113123413474561,-0.14475057054564291,0.3036736682951728,0.42558147322975587,0.6445858058555708,1.035932425307198,-0.6765631156139498,/home/david/knows/rlic/data/bulk_analysis/XLI_ppi_yoy_regime.png
XLY,Consumer Discretionary,orders_inv_ratio,Orders/Inventories Ratio,-0.03944115831557757,0.47995731674071324,-4,-0.09264038127055194,1,0.2807087439021068,False,-0.32079256837928416,-0.22466799037074509,-0.16326312016493016,0.6257969930993512,0.8844487881132294,0.5383220759122759,0.9632024179283174,-0.16781094728253557,/home/david/knows/rlic/data/bulk_analysis/XLY_orders_inv_ratio_regime.png
XLY,Consumer Discretionary,ppi_yoy,PPI YoY,-0.07211594279128854,0.1961005717380661,-5,0.11077251692047414,1,0.1916933302396168,False,-0.5730103725357126,-0.370693396620881,-0.15070999581589614,0.00917841881370555,0.013567989748427491,0.7675270632894722,1.257217610482197,-0.16781094728253557,/home/david/knows/rlic/data/bulk_analysis/XLY_ppi_yoy_regime.png
XLP,Consumer Staples,orders_inv_ratio,Orders/Inventories Ratio,-0.017608754148617827,0.7525599992767839,-2,-0.08093868715264511,2,0.09396588213190724,False,-0.24995324012981673,-0.16708869035874865,-0.21860466565727515,0.5502791840928695,0.525324335401549,0.609442709718404,0.6703064275016526,-0.24237841445867433,/home/david/knows/rlic/data/bulk_analysis/XLP_orders_inv_ratio_regime.png
XLP,Consumer Staples,ppi_yoy,PPI YoY,0.031041231692990053,0.5783131364342506,-1,-0.1289817014566175,1,0.0223480776261486,True,-0.34753583269260174,-0.15292587527857604,-0.1660182505169013,1.0394215490617182,0.9681344839375203,0.4325720181436642,0.45730629028666164,-0.24237841445867433,/home/david/knows/rlic/data/bulk_analysis/XLP_ppi_yoy_regime.png
XLU,Utilities,orders_inv_ratio,Orders/Inventories Ratio,-0.012997456159079468,0.815996613239948,-12,0.07907347363027499,1,0.7083806849444306,False,-0.3763779752890911,-0.25254030248119236,-0.36181372352998303,0.6145053168403577,0.7509982858292329,0.5154894316396846,0.6761374309406819,-1.1567974568414119,/home/david/knows/rlic/data/bulk_analysis/XLU_orders_inv_ratio_regime.png
XLU,Utilities,ppi_yoy,PPI YoY,0.009529811757789547,0.864529203749992,-12,-0.11675833784551386,1,0.1386628191936457,False,-1.0685104044180203,-0.8119524949773916,-0.15503828568983816,0.6037821685344232,0.7624912850832004,0.550596508620977,0.6975943729359253,-1.1567974568414119,/home/david/knows/rlic/data/bulk_analysis/XLU_ppi_yoy_regime.png
XLB,Materials,orders_inv_ratio,Orders/Inventories Ratio,-0.001242840660003706,0.98224853785233,-5,-0.08277553672804133,2,0.3074235032470402,False,-0.21522498891438335,-0.15511487046268607,-0.13196280964369145,0.6698404160281745,1.0507980737058533,0.29391194752620964,0.5581935282532591,-0.2647984125542044,/home/david/knows/rlic/data/bulk_analysis/XLB_orders_inv_ratio_regime.png
XLB,Materials,ppi_yoy,PPI YoY,-0.02416803751306758,0.6652094035777621,-9,0.1138303469477828,1,0.1019103992303214,False,-0.6821228452879206,-0.4401651931247361,-0.2631746049710877,0.16651941719195593,0.2868991233717313,0.5804103152240898,1.0088722437648217,-0.2647984125542044,/home/david/knows/rlic/data/bulk_analysis/XLB_ppi_yoy_regime.png
XLRE,Real Estate,orders_inv_ratio,Orders/Inventories Ratio,0.12202953841871102,0.18057238386359495,-12,-0.1736953110110848,1,0.4806682780076861,False,-0.4116360807935309,-0.3061980614517602,-0.13540946397999037,1.1228663342445306,1.3737373264046302,-0.01487985504442692,-0.0231991789685367,,/home/david/knows/rlic/data/bulk_analysis/XLRE_orders_inv_ratio_regime.png
XLRE,Real Estate,ppi_yoy,PPI YoY,-0.00974164467539278,0.9151897718110712,-1,-0.24698920257241946,2,0.0017838611495622186,True,-0.8603233779689944,-0.22036154372441627,-0.06704280482500113,0.02349623784440356,0.028095346328828187,0.5498026502162223,0.8169926443932582,,/home/david/knows/rlic/data/bulk_analysis/XLRE_ppi_yoy_regime.png
XLC,Communication Services,orders_inv_ratio,Orders/Inventories Ratio,-0.002559530927273839,0.9808985104364034,-12,-0.36936968883773075,1,0.46985188905563735,False,,,,1.4366179839539328,1.7777439724120234,0.4313517796818534,0.7891580332570131,,/home/david/knows/rlic/data/bulk_analysis/XLC_orders_inv_ratio_regime.png
XLC,Communication Services,ppi_yoy,PPI YoY,0.042997922185999064,0.6873909325525047,-5,0.3128423975639755,6,0.02174519746567567,True,,,,-0.12150804767209865,-0.20558163691385803,1.082777208439199,1.6913263631349296,,/home/david/knows/rlic/data/bulk_analysis/XLC_ppi_yoy_regime.png
